Title,URL,Genre,Plays,Plays for sorting,Publish Date
Makeup Kit - Color Mixing,https://www.youtube.com/playables/UgkxsIMTk6Iy34gx5WU30Bl_ofilD55Edub1,Simulation,Color Mixing – 9.8 million plays,9800000,9 Jan 2024
Makeup Stylist,https://www.youtube.com/playables/UgkxAaoFxYMftYrBhGcxlxgKwUZ7s6QbLnVk,Simulation,9.6 million plays,9600000,26 May 2026
Burger Life,https://www.youtube.com/playables/UgkxQL3D5OVRSMC5hj4YY_AN_6_zKpTqMuBn,Simulation,9.5 million plays,9500000,3 Mar 2026
Tropical Merge,https://www.youtube.com/playables/UgkxaQ7Prff5pYiQ5676g8Nvhm9B3GswNUg6,Simulation,9.2 million plays,9200000,3 Sept 2024
BMG: Ragdoll Car Race,https://www.youtube.com/playables/Ugkxsw2FrA51AmdmGEVZmauwFKez--utxY50,Racing,9.1 million plays,9100000,26 Jun 2026
Dog Escape,https://www.youtube.com/playables/UgkxSHGPvJ0thSMN1NdOMCWbS-1utdqa3MZa,Brain and puzzle,9.1 million plays,9100000,31 Mar 2026
Fish Story: Save the Nemo 🐠,https://www.youtube.com/playables/Ugkxq90J5i32a_tF0lgD80XQ85Nwh37HqcDu,Brain and puzzle,9.1 million plays,9100000,31 Mar 2026
Family Life,https://www.youtube.com/playables/UgkxuIJWZNF2yjYZBROSWi56ThCfkPWhf1BU,Simulation,9.1 million plays,9100000,21 Jan 2025
Homo Evolution,https://www.youtube.com/playables/UgkxJLegyl7l_uEfda_DHMw0E-QOmO68Y2bD,Simulation,9 million plays,9000000,27 Aug 2024
Traffic Racer 3D,https://www.youtube.com/playables/UgkxeykHkAfFZRlcu25-v5PZyV94j8yw_4QT,Racing,8.9 million plays,8900000,10 Mar 2026
Tomb of the Mask,https://www.youtube.com/playables/UgkxKXJt3Dp8gutdeca9P-UpEM3LLaeDffpa,Action,8.8 million plays,8800000,19 Dec 2023
8 Ball Pool,https://www.youtube.com/playables/UgkxMXrw_eIbwg6ulkjqfyNMpDMf-yZZxqid,Multiplayer,8.8 million plays,8800000,
Mergest Kingdom,https://www.youtube.com/playables/Ugkxmy83UWt6AAOIuGhdnwCYxk5yWsErs5pJ,Brain and puzzle,8.7 million plays,8700000,15 Oct 2024
Hair Salon: Beauty Salon Game,https://www.youtube.com/playables/UgkxABmyyKttjprJ2BxeP2pW3u0nXOFPM5ju,Simulation,8.6 million plays,8600000,7 Jul 2026
Sort Tiles: Tap Away,https://www.youtube.com/playables/UgkxIVDH74Z95xeFbuiPzI6XxiRDFFSRJk5Y,Brain and puzzle,8.6 million plays,8600000,5 Nov 2025
Helix Jump,https://www.youtube.com/playables/Ugkx5MRlPuIgVY8roiYI_LmuR7juykVtmFvn,Arcade,8.5 million plays,8500000,11 Jun 2024
Gym Boss,https://www.youtube.com/playables/Ugkxvi749EcJUgkgMuPtyk5MnBZb6Qzw2laN,Simulation,8.4 million plays,8400000,3 Jun 2026
Sandwich,https://www.youtube.com/playables/Ugkx4Yf2_IesnbygsjkYESZedYHGxHD_Ln4x,Brain and puzzle,8.4 million plays,8400000,10 Jun 2025
Ragdoll Racing: Extreme Downhill!,https://www.youtube.com/playables/Ugkx9QgfPuMsjSvsXgb1P3Xp803fCyCoPh0N,Action,8.3 million plays,8300000,29 Apr 2026
Freekick Football,https://www.youtube.com/playables/UgkxjX3-84ZFPZHSm99ZIsn9eqPQQSoWJPxS,Sport,8.2 million plays,8200000,16 Apr 2024
Fruit Clash,https://www.youtube.com/playables/UgkxfNOJ7DUTDNTDxhQHSFL0LswC7L92YJyZ,Brain and puzzle,8.1 million plays,8100000,15 Oct 2025
Retro Drift,https://www.youtube.com/playables/UgkxBtpb3hisyNhrNkU215QuFIRfmNBgJ0m4,Racing,8.1 million plays,8100000,5 Mar 2024
Basketball FRVR,https://www.youtube.com/playables/UgkxWSXS6lpJJk8UXStO2_gBWymmyo7GnjZN,Sport,8.1 million plays,8100000,
Color Fill 3D,https://www.youtube.com/playables/UgkxygSWplP8x0tXLUlCBRPrVtv4-gFiOy8d,Arcade,7.9 million plays,7900000,8 Jul 2025
Train Miner,https://www.youtube.com/playables/UgkxBynb5M9pp8sUIsHD_eKLQYb87Yo_hXhW,Simulation,7.9 million plays,7900000,1 Jul 2025
My Perfect Hotel,https://www.youtube.com/playables/Ugkx0SCU_1hU4q-k6CHwkNFWa-tQBimsRSZc,Arcade,7.7 million plays,7700000,19 Mar 2024
Brain Out,https://www.youtube.com/playables/UgkxSxr2TP347bOmLco8gaPvBUwilDvO47Ys,Brain and puzzle,7.6 million plays,7600000,16 Aug 2023
Slime Simulator,https://www.youtube.com/playables/UgkxlY0l4DGnh1IP9OJaRxGeykIba4oNi5fl,Simulation,7.5 million plays,7500000,5 May 2026
Become a Super Stylist girl in a fashion show!,https://www.youtube.com/playables/UgkxvqalsWf9nd5EKGlFPkv7K62puApmyDpQ,Simulation,7.5 million plays,7500000,18 Feb 2026
Slime.io,https://www.youtube.com/playables/UgkxCPSyzGC7X7P8rw8sEmPuv82HB_nEXWt8,Arcade,7.5 million plays,7500000,27 Feb 2024
Color Burst 3D,https://www.youtube.com/playables/UgkxcobZM_stIxOBW-bQwKcrUiYbg11g4x55,Arcade,7.5 million plays,7500000,7 Jun 2023
Cookingdom,https://www.youtube.com/playables/UgkxK7aXF_otbFlvaP3SfTn0oXOT8PxkViSj,Brain and puzzle,7.3 million plays,7300000,17 Mar 2026
Marble Run,https://www.youtube.com/playables/UgkxjKj2oYGckQIcb_lWcvhxehqxTbcsYbMk,Racing,7.2 million plays,7200000,10 Feb 2026
Archery World Tour,https://www.youtube.com/playables/UgkxhWL-8PcJnVcWWzTqGWR1UUSXLxoBf5l-,Sport,7.2 million plays,7200000,21 Jan 2025
Prison Manager: Cage Break Tycoon,https://www.youtube.com/playables/Ugkx5bJdkCqETakqxUp-Wt2H8jc1n1fMPIX7,Simulation,7 million plays,7000000,1 Jul 2026
Pet Me Maze,https://www.youtube.com/playables/UgkxDMBcbnWD9NaunOrFS91DWX-6F5o7A5gn,Arcade,7 million plays,7000000,11 Jun 2026
Fruit Ninja,https://www.youtube.com/playables/UgkxXYGAYFMFRZ_xXj3U5_nFFkUB6U6Gdgpl,Arcade,6.9 million plays,6900000,17 Dec 2024
Pokey Ball,https://www.youtube.com/playables/UgkxdwjnVZpLR_KtsTXghj3Bz-TMRpUrrgin,Arcade,6.9 million plays,6900000,23 Jul 2024
Bubble Pop Star,https://www.youtube.com/playables/UgkxJDh35a5buq4ZFSiTAk4_NlVrolGJdzmS,Brain and puzzle,6.9 million plays,6900000,26 Mar 2024
Color Pixel Art,https://www.youtube.com/playables/UgkxRscQl2OyLGa13m5LKa20ZKyA9nSDIPNM,Brain and puzzle,6.9 million plays,6900000,10 Oct 2023
Deadly Catch!,https://www.youtube.com/playables/UgkxuzB1o7sFuwE4Mjnx383jUHS1mtJ84s-7,Simulation,6.8 million plays,6800000,10 Mar 2026
Dalgona Candy Cookie Games,https://www.youtube.com/playables/Ugkx1bj0VNDV1XLvAvJwgf5ZOJ8PE6kJSpQT,Simulation,6.8 million plays,6800000,10 Feb 2026
Paper Doll Diary: Dress Up DIY,https://www.youtube.com/playables/Ugkx6zAtOIi3BASa4oCvjMqI18ucSznkpfek,Simulation,6.7 million plays,6700000,26 May 2026
Race Rush 3D,https://www.youtube.com/playables/UgkxvfamvAma3ETK9bnbyuPLr9WUgoQaK2LV,Racing,6.7 million plays,6700000,15 Apr 2026
Animal Care Tycoon,https://www.youtube.com/playables/UgkxQrWIBFGvRlHl0b3B_0FEJT8tgSJBbQen,Simulation,6.7 million plays,6700000,3 Mar 2026
Table Tennis World Tour,https://www.youtube.com/playables/UgkxjfTaD53xDls6vMe5pPVU-gWXQZ6uDBKt,Sport,6.7 million plays,6700000,25 Feb 2025
Home Rush - Draw to Home,https://www.youtube.com/playables/UgkxpI4ETBUg9-HRbUS0UIEv50Lihtu_jThK,Brain and puzzle,Draw to Home – 6.6 million plays,6600000,24 Jul 2026
